Keyphrase,Occurences
systems,4
zero-knowledge,4
proof,4
protocol,3
system,3
quantum,2
post-quantum-cryptography,2
develop,2
cryptographic,2
secure,2
classical,2
protocols,2
non-interactive,2
verify,2
efficient,2
prover,2
